,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Withdrew No MT,Dropped no MT,Dropped no Fin,Final Grade Number,Mid Term Grade Number
0,0,Registered,AED,22860,KC,A-,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.7,3.0
1,1,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,4.0
2,2,Registered,AED,22860,KC,A,A,ARCH,OTH,Fall 2022,JR,AED 22860,Other,CAED,False,False,False,4.0,4.0
3,3,Registered,AED,22860,KC,F,B,ARCH,ID,Fall 2022,SO,AED 22860,CAED,CAED,False,False,False,0.0,3.0
4,4,Registered,AED,22860,KC,B,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.0,3.0
5,5,Registered,AED,22860,KC,B,,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.0,
6,6,Registered,AED,22860,KC,A,A-,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,3.7
7,7,Registered,AED,22860,KC,A-,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.7,3.0
8,8,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,4.0
9,9,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,4.0
10,10,Registered,AED,22860,KC,B,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.0,4.0
11,11,Registered,AED,22860,KC,,C,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,,2.0
12,12,Registered,AED,22860,KC,D+,C+,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,1.3,2.3
13,13,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,4.0
14,14,Registered,AED,22860,KC,C,D,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,2.0,1.0
15,15,Registered,AED,22860,KC,B,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,3.0,3.0
16,16,Registered,AED,22860,KC,F,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,0.0,3.0
17,17,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,SO,AED 22860,CAED,CAED,False,False,False,4.0,4.0
18,18,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,CAED,False,False,False,4.0,4.0
19,19,Registered,AED,22860,KC,B-,C,ARCH,ID,Fall 2022,SO,AED 22860,CAED,CAED,False,False,False,2.7,2.0
