,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class
0,RW,AED,22860,KC,A-,B,ARCH,ID,202280,FR
1,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
2,RW,AED,22860,KC,A,A,ARCH,OTH,202280,JR
3,RW,AED,22860,KC,F,B,ARCH,ID,202280,SO
4,RW,AED,22860,KC,B,B,ARCH,ID,202280,FR
5,RW,AED,22860,KC,B,,ARCH,ID,202280,FR
6,RW,AED,22860,KC,A,A-,ARCH,ID,202280,FR
7,RW,AED,22860,KC,A-,B,ARCH,ID,202280,FR
8,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
9,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
10,RW,AED,22860,KC,B,A,ARCH,ID,202280,FR
11,RW,AED,22860,KC,,C,ARCH,ID,202280,FR
12,RW,AED,22860,KC,D+,C+,ARCH,ID,202280,FR
13,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
14,RW,AED,22860,KC,C,D,ARCH,ID,202280,FR
15,RW,AED,22860,KC,B,B,ARCH,ID,202280,FR
16,RW,AED,22860,KC,F,B,ARCH,ID,202280,FR
17,RW,AED,22860,KC,A,A,ARCH,ID,202280,SO
18,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
19,RW,AED,22860,KC,B-,C,ARCH,ID,202280,SO
20,RW,AED,22860,KC,A-,A-,ARCH,ID,202280,FR
21,RW,AED,22860,KC,A,A-,ARCH,ID,202280,JR
22,RW,AED,22860,KC,F,B+,ARCH,ID,202280,FR
23,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
24,RW,AED,22860,KC,A,B-,ARCH,ID,202280,FR
25,RW,AED,22860,KC,B,A,ARCH,ID,202280,FR
26,RW,AED,22860,KC,B+,B+,ARCH,ID,202280,FR
27,RW,AED,22860,KC,B+,B+,ARCH,ID,202280,FR
28,RW,AED,22860,KC,C-,A,ARCH,ID,202280,FR
29,RW,AED,22860,KC,C,A,ARCH,ID,202280,FR
30,RE,AED,22860,KC,A,A,ARCH,ID,202280,FR
31,WW,AED,22860,KC,W,D,ARCH,ID,202280,SO
32,RW,AED,22860,KC,A,A-,ARCH,ID,202280,FR
33,RW,AED,22860,KC,B-,C-,ARCH,ID,202280,FR
34,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
35,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
36,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
37,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
38,RW,AED,22860,KC,B-,B,ARCH,ID,202280,FR
39,RW,AED,22860,KC,C-,C+,ARCH,ID,202280,FR
40,RW,AED,22860,KC,B,,ARCH,ID,202280,JR
41,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
42,RW,AED,22860,KC,C+,C+,ARCH,ID,202280,FR
43,RW,AED,22860,KC,C,C,ARCH,ID,202280,FR
44,RW,AED,22860,KC,A,A-,ARCH,ID,202280,FR
45,RW,AED,22860,KC,B-,,ARCH,ID,202280,FR
46,RW,AED,22860,KC,A,,ARCH,ID,202280,FR
47,RW,AED,22860,KC,C,A,ARCH,ID,202280,FR
48,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
49,RW,AED,22860,KC,B-,C,ARCH,ID,202280,SO
50,RW,AED,22860,KC,A,,ARCH,ID,202280,FR
51,RW,AED,22860,KC,A,,ARCH,ID,202280,SO
52,RW,AED,22860,KC,A-,B,ARCH,ID,202280,SO
53,RW,AED,22860,KC,A,B-,ARCH,ID,202280,FR
54,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
55,RW,AED,22860,KC,B-,B-,ARCH,ID,202280,FR
56,RW,AED,22860,KC,C+,A,ARCH,ID,202280,FR
57,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
58,RW,AED,22860,KC,C,,ARCH,ID,202280,FR
59,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
60,RW,AED,22860,KC,A,A,ARCH,ID,202280,FR
61,RW,AED,22860,KC,C,F,ARCH,ID,202280,FR
62,RW,AED,22860,KC,C-,C-,ARCH,ID,202280,FR
63,RW,AED,22860,KC,A,B+,ARCH,ID,202280,FR
64,RW,AED,22860,KC,A-,B+,ARCH,ID,202280,JR
65,RW,AED,22860,KC,C,B,ARCH,ID,202280,JR
