Course Code,Academic Period,Subject,Subject College,Department,MT C or Higher,"MT C-, D, F, W",MT Not Reported,Total Grades,# of Passing Grades,% of Passing Grades
THEA 28661,202410,THEA,CotA,THDN,5.0,0.0,0.0,5.0,1.0,100.00%
MDJ 11788,202380,MDJ,CCI,MDJ,19.0,0.0,0.0,19.0,1.0,100.00%
DAN 22742,202480,DAN,CotA,THDN,9.0,0.0,0.0,9.0,1.0,100.00%
THEA 14873,202480,THEA,CotA,THDN,11.0,0.0,0.0,11.0,1.0,100.00%
MUS 20682,202480,MUS,CotA,MUS,9.0,0.0,0.0,9.0,1.0,100.00%
MUS 13040,202310,MUS,CotA,MUS,4.0,0.0,0.0,4.0,1.0,100.00%
ARCS 12721,202510,ARCS,CAED,ARCH,11.0,0.0,0.0,11.0,1.0,100.00%
VCD 20802,202310,VCD,CCI,VCD,23.0,0.0,1.0,24.0,0.9583333333333334,95.83%
MDJ 11788,202580,MDJ,CCI,MDJ,23.0,1.0,0.0,24.0,0.9583333333333334,95.83%
VCD 13182,202380,VCD,CCI,VCD,21.0,1.0,0.0,22.0,0.9545454545454546,95.45%
MDJ 12062,202610,MDJ,CCI,MDJ,19.0,0.0,1.0,20.0,0.95,95.00%
THEA 28661,202580,THEA,CotA,THDN,17.0,0.0,1.0,18.0,0.9444444444444444,94.44%
VCD 17656,202610,VCD,CCI,VCD,17.0,0.0,1.0,18.0,0.9444444444444444,94.44%
DAN 13945,202480,DAN,CotA,THDN,15.0,1.0,0.0,16.0,0.9375,93.75%
DAN 22742,202580,DAN,CotA,THDN,15.0,1.0,0.0,16.0,0.9375,93.75%
MUS 20682,202380,MUS,CotA,MUS,13.0,0.0,1.0,14.0,0.9285714285714286,92.86%
ARCS 11014,202510,ARCS,CAED,ARCH,13.0,0.0,1.0,14.0,0.9285714285714286,92.86%
ARCS 11014,202410,ARCS,CAED,ARCH,13.0,1.0,0.0,14.0,0.9285714285714286,92.86%
ARTS 23886,202610,ARTS,CotA,ART,12.0,1.0,0.0,13.0,0.9230769230769231,92.31%
MUS 20682,202280,MUS,CotA,MUS,12.0,0.0,1.0,13.0,0.9230769230769231,92.31%
MDJ 25865,202580,MDJ,CCI,MDJ,23.0,1.0,1.0,25.0,0.92,92.00%
DAN 22742,202380,DAN,CotA,THDN,11.0,0.0,1.0,12.0,0.9166666666666666,91.67%
EMAT 12670,202480,EMAT,CCI,EMAT,22.0,2.0,0.0,24.0,0.9166666666666666,91.67%
MDJ 12062,202480,MDJ,CCI,MDJ,11.0,1.0,0.0,12.0,0.9166666666666666,91.67%
MDJ 12063,202310,MDJ,CCI,MDJ,11.0,1.0,0.0,12.0,0.9166666666666666,91.67%
EMAT 12670,202380,EMAT,CCI,EMAT,21.0,1.0,1.0,23.0,0.9130434782608695,91.30%
ARCS 26039,202580,ARCS,CAED,ARCH,10.0,0.0,1.0,11.0,0.9090909090909091,90.91%
MUS 12689,202280,MUS,CotA,MUS,10.0,0.0,1.0,11.0,0.9090909090909091,90.91%
ARCH 22860,202610,ARCH,CAED,ARCH,20.0,1.0,1.0,22.0,0.9090909090909091,90.91%
MDJ 17554,202380,MDJ,CCI,MDJ,39.0,2.0,2.0,43.0,0.9069767441860465,90.70%
EMAT 10164,202280,EMAT,CCI,EMAT,19.0,0.0,2.0,21.0,0.9047619047619048,90.48%
FDM 17764,202510,FDM,CotA,FDM,19.0,1.0,1.0,21.0,0.9047619047619048,90.48%
FDM 20907,202580,FDM,CotA,FDM,46.0,3.0,2.0,51.0,0.9019607843137255,90.20%
AED 22860,202510,AED,CAED,ARCH,9.0,1.0,0.0,10.0,0.9,90.00%
THEA 28661,202310,THEA,CotA,THDN,9.0,1.0,0.0,10.0,0.9,90.00%
MDJ 11788,202510,MDJ,CCI,MDJ,18.0,1.0,1.0,20.0,0.9,90.00%
MDJ 22045,202480,MDJ,CCI,MDJ,18.0,2.0,0.0,20.0,0.9,90.00%
ARCS 12721,202610,ARCS,CAED,ARCH,9.0,0.0,1.0,10.0,0.9,90.00%
VCD 18839,202280,VCD,CCI,VCD,45.0,1.0,4.0,50.0,0.9,90.00%
ARTS 22958,202510,ARTS,CotA,ART,53.0,0.0,6.0,59.0,0.8983050847457628,89.83%
THEA 22559,202510,THEA,CotA,THDN,44.0,2.0,3.0,49.0,0.8979591836734694,89.80%
ID 11937,202380,ID,CAED,ARCH,78.0,6.0,3.0,87.0,0.896551724137931,89.66%
ART 20725,202310,ART,CotA,ART,26.0,2.0,1.0,29.0,0.896551724137931,89.66%
CMGT 11015,202510,CMGT,CAED,ARCH,34.0,2.0,2.0,38.0,0.8947368421052632,89.47%
MDJ 11788,202280,MDJ,CCI,MDJ,17.0,2.0,0.0,19.0,0.8947368421052632,89.47%
ART 29123,202310,ART,CotA,ART,34.0,3.0,1.0,38.0,0.8947368421052632,89.47%
ID 13310,202480,ID,CAED,ARCH,50.0,3.0,3.0,56.0,0.8928571428571429,89.29%
MDJ 28984,202310,MDJ,CCI,MDJ,66.0,3.0,5.0,74.0,0.8918918918918919,89.19%
ART 21467,202510,ART,CotA,ART,41.0,4.0,1.0,46.0,0.8913043478260869,89.13%
THEA 28661,202380,THEA,CotA,THDN,16.0,2.0,0.0,18.0,0.8888888888888888,88.89%
ARCH 22860,202410,ARCH,CAED,ARCH,16.0,0.0,2.0,18.0,0.8888888888888888,88.89%
ARCH 22860,202510,ARCH,CAED,ARCH,8.0,1.0,0.0,9.0,0.8888888888888888,88.89%
THEA 25397,202280,THEA,CotA,THDN,8.0,0.0,1.0,9.0,0.8888888888888888,88.89%
ARTH 23813,202410,ARTH,CotA,ART,24.0,2.0,1.0,27.0,0.8888888888888888,88.89%
THEA 15947,202480,THEA,CotA,THDN,16.0,0.0,2.0,18.0,0.8888888888888888,88.89%
THEA 22915,202280,THEA,CotA,THDN,31.0,3.0,1.0,35.0,0.8857142857142857,88.57%
THEA 22915,202310,THEA,CotA,THDN,23.0,2.0,1.0,26.0,0.8846153846153846,88.46%
CCI 11716,202610,CCI,CCI,CCI,76.0,9.0,1.0,86.0,0.8837209302325582,88.37%
ART 20725,202610,ART,CotA,ART,38.0,3.0,2.0,43.0,0.8837209302325582,88.37%
MUS 25988,202480,MUS,CotA,MUS,38.0,2.0,3.0,43.0,0.8837209302325582,88.37%
COMM 21241,202310,COMM,CCI,COMM,45.0,3.0,3.0,51.0,0.8823529411764706,88.24%
MDJ 13358,202510,MDJ,CCI,MDJ,67.0,3.0,6.0,76.0,0.881578947368421,88.16%
EMAT 17213,202580,EMAT,CCI,EMAT,37.0,2.0,3.0,42.0,0.8809523809523809,88.10%
ARTS 22958,202310,ARTS,CotA,ART,37.0,3.0,2.0,42.0,0.8809523809523809,88.10%
VCD 13182,202510,VCD,CCI,VCD,44.0,5.0,1.0,50.0,0.88,88.00%
ID 21822,202280,ID,CAED,ARCH,51.0,4.0,3.0,58.0,0.8793103448275862,87.93%
VCD 20802,202580,VCD,CCI,VCD,29.0,1.0,3.0,33.0,0.8787878787878788,87.88%
MDJ 28436,202310,MDJ,CCI,MDJ,36.0,4.0,1.0,41.0,0.8780487804878049,87.80%
THEA 15947,202310,THEA,CotA,THDN,21.0,1.0,2.0,24.0,0.875,87.50%
THEA 25397,202580,THEA,CotA,THDN,14.0,2.0,0.0,16.0,0.875,87.50%
ID 19670,202610,ID,CAED,ARCH,49.0,5.0,2.0,56.0,0.875,87.50%
VCD 24327,202480,VCD,CCI,VCD,35.0,4.0,1.0,40.0,0.875,87.50%
THEA 28661,202280,THEA,CotA,THDN,14.0,2.0,0.0,16.0,0.875,87.50%
VCD 19343,202480,VCD,CCI,VCD,21.0,2.0,1.0,24.0,0.875,87.50%
MDJ 22796,202380,MDJ,CCI,MDJ,42.0,1.0,5.0,48.0,0.875,87.50%
ARTS 26965,202610,ARTS,CotA,ART,34.0,3.0,2.0,39.0,0.8717948717948718,87.18%
THEA 25988,202410,THEA,CotA,THDN,27.0,0.0,4.0,31.0,0.8709677419354839,87.10%
ART 29123,202410,ART,CotA,ART,40.0,4.0,2.0,46.0,0.8695652173913043,86.96%
THEA 12927,202610,THEA,CotA,THDN,20.0,2.0,1.0,23.0,0.8695652173913043,86.96%
FDM 27868,202610,FDM,CotA,FDM,66.0,9.0,1.0,76.0,0.868421052631579,86.84%
ID 19883,202610,ID,CAED,ARCH,59.0,4.0,5.0,68.0,0.8676470588235294,86.76%
ARTS 28507,202510,ARTS,CotA,ART,78.0,7.0,5.0,90.0,0.8666666666666667,86.67%
ARCH 22860,202310,ARCH,CAED,ARCH,13.0,1.0,1.0,15.0,0.8666666666666667,86.67%
CMGT 19400,202610,CMGT,CAED,ARCH,84.0,8.0,5.0,97.0,0.865979381443299,86.60%
FDM 23628,202380,FDM,CotA,FDM,96.0,8.0,7.0,111.0,0.8648648648648649,86.49%
ART 29123,202380,ART,CotA,ART,70.0,6.0,5.0,81.0,0.8641975308641975,86.42%
THEA 25866,202310,THEA,CotA,THDN,19.0,2.0,1.0,22.0,0.8636363636363636,86.36%
THEA 21764,202310,THEA,CotA,THDN,19.0,1.0,2.0,22.0,0.8636363636363636,86.36%
ID 13889,202310,ID,CAED,ARCH,44.0,4.0,3.0,51.0,0.8627450980392157,86.27%
CMGT 19400,202410,CMGT,CAED,ARCH,86.0,9.0,5.0,100.0,0.86,86.00%
THEA 29275,202280,THEA,CotA,THDN,49.0,6.0,2.0,57.0,0.8596491228070176,85.96%
ID 21822,202480,ID,CAED,ARCH,49.0,3.0,5.0,57.0,0.8596491228070176,85.96%
MUS 25988,202580,MUS,CotA,MUS,30.0,4.0,1.0,35.0,0.8571428571428571,85.71%
MUS 12120,202610,MUS,CotA,MUS,18.0,2.0,1.0,21.0,0.8571428571428571,85.71%
MUS 13040,202510,MUS,CotA,MUS,6.0,1.0,0.0,7.0,0.8571428571428571,85.71%
THEA 19134,202480,THEA,CotA,THDN,30.0,2.0,3.0,35.0,0.8571428571428571,85.71%
THEA 25988,202480,THEA,CotA,THDN,42.0,2.0,5.0,49.0,0.8571428571428571,85.71%
ARTH 17400,202380,ARTH,CotA,ART,263.0,21.0,23.0,307.0,0.8566775244299675,85.67%
ARTS 22958,202580,ARTS,CotA,ART,53.0,5.0,4.0,62.0,0.8548387096774194,85.48%
MUS 28860,202480,MUS,CotA,MUS,41.0,7.0,0.0,48.0,0.8541666666666666,85.42%
MDJ 13358,202380,MDJ,CCI,MDJ,64.0,6.0,5.0,75.0,0.8533333333333334,85.33%
MDJ 28984,202280,MDJ,CCI,MDJ,64.0,2.0,9.0,75.0,0.8533333333333334,85.33%
ARTS 28482,202310,ARTS,CotA,ART,58.0,4.0,6.0,68.0,0.8529411764705882,85.29%
MDJ 25865,202310,MDJ,CCI,MDJ,29.0,4.0,1.0,34.0,0.8529411764705882,85.29%
CMGT 23815,202380,CMGT,CAED,ARCH,75.0,6.0,7.0,88.0,0.8522727272727273,85.23%
MUS 20682,202310,MUS,CotA,MUS,23.0,2.0,2.0,27.0,0.8518518518518519,85.19%
MDJ 28436,202380,MDJ,CCI,MDJ,40.0,2.0,5.0,47.0,0.851063829787234,85.11%
ID 24050,202280,ID,CAED,ARCH,108.0,9.0,10.0,127.0,0.8503937007874016,85.04%
MUS 10469,202310,MUS,CotA,MUS,34.0,1.0,5.0,40.0,0.85,85.00%
CMGT 11015,202380,CMGT,CAED,ARCH,34.0,5.0,1.0,40.0,0.85,85.00%
ARCS 26039,202380,ARCS,CAED,ARCH,17.0,2.0,1.0,20.0,0.85,85.00%
THEA 25866,202280,THEA,CotA,THDN,17.0,1.0,2.0,20.0,0.85,85.00%
MDJ 25946,202380,MDJ,CCI,MDJ,85.0,9.0,6.0,100.0,0.85,85.00%
CMGT 11015,202580,CMGT,CAED,ARCH,34.0,2.0,4.0,40.0,0.85,85.00%
VCD 17213,202510,VCD,CCI,VCD,34.0,3.0,3.0,40.0,0.85,85.00%
THEA 29275,202380,THEA,CotA,THDN,45.0,5.0,3.0,53.0,0.8490566037735849,84.91%
VCD 18414,202610,VCD,CCI,VCD,28.0,3.0,2.0,33.0,0.8484848484848485,84.85%
