,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,Major College,Subject College,Mid Term Grade Number,Final Grade Number,MT Intervention Needed
0,0,Registered,AED,22860,KC,A-,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.7,Passing MT Grade
1,1,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
3,3,Registered,AED,22860,KC,F,B,ARCH,ID,202280,SO,AED 22860,CAED,CAED,3.0,0.0,Passing MT Grade
4,4,Registered,AED,22860,KC,B,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
5,5,Registered,AED,22860,KC,B,,ARCH,ID,202280,FR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
6,6,Registered,AED,22860,KC,A,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,4.0,Passing MT Grade
7,7,Registered,AED,22860,KC,A-,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.7,Passing MT Grade
8,8,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
9,9,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
10,10,Registered,AED,22860,KC,B,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.0,Passing MT Grade
11,11,Registered,AED,22860,KC,,C,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.0,,FR/SO Intervention Needed
12,12,Registered,AED,22860,KC,D+,C+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.3,1.3,Passing MT Grade
13,13,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
14,14,Registered,AED,22860,KC,C,D,ARCH,ID,202280,FR,AED 22860,CAED,CAED,1.0,2.0,FR/SO Intervention Needed
15,15,Registered,AED,22860,KC,B,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,3.0,Passing MT Grade
16,16,Registered,AED,22860,KC,F,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,0.0,Passing MT Grade
17,17,Registered,AED,22860,KC,A,A,ARCH,ID,202280,SO,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
18,18,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
19,19,Registered,AED,22860,KC,B-,C,ARCH,ID,202280,SO,AED 22860,CAED,CAED,2.0,2.7,FR/SO Intervention Needed
20,20,Registered,AED,22860,KC,A-,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,3.7,Passing MT Grade
21,21,Registered,AED,22860,KC,A,A-,ARCH,ID,202280,JR,AED 22860,CAED,CAED,3.7,4.0,Passing MT Grade
22,22,Registered,AED,22860,KC,F,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,0.0,Passing MT Grade
23,23,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
24,24,Registered,AED,22860,KC,A,B-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.7,4.0,Passing MT Grade
25,25,Registered,AED,22860,KC,B,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,3.0,Passing MT Grade
26,26,Registered,AED,22860,KC,B+,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,3.3,Passing MT Grade
27,27,Registered,AED,22860,KC,B+,B+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.3,3.3,Passing MT Grade
28,28,Registered,AED,22860,KC,C-,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,1.7,Passing MT Grade
29,29,Registered,AED,22860,KC,C,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,2.0,Passing MT Grade
30,30,Std Withdrawn,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
31,31,Stopped Attending - Failed,AED,22860,KC,W,D,ARCH,ID,202280,SO,AED 22860,CAED,CAED,1.0,0.0,FR/SO Intervention Needed
32,32,Registered,AED,22860,KC,A,A-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.7,4.0,Passing MT Grade
33,33,Registered,AED,22860,KC,B-,C-,ARCH,ID,202280,FR,AED 22860,CAED,CAED,1.7,2.7,FR/SO Intervention Needed
34,34,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
35,35,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
36,36,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
37,37,Registered,AED,22860,KC,A,A,ARCH,ID,202280,FR,AED 22860,CAED,CAED,4.0,4.0,Passing MT Grade
38,38,Registered,AED,22860,KC,B-,B,ARCH,ID,202280,FR,AED 22860,CAED,CAED,3.0,2.7,Passing MT Grade
39,39,Registered,AED,22860,KC,C-,C+,ARCH,ID,202280,FR,AED 22860,CAED,CAED,2.3,1.7,Passing MT Grade
40,40,Registered,AED,22860,KC,B,,ARCH,ID,202280,JR,AED 22860,CAED,CAED,,3.0,No MT Grade Entered
