,Record ID,Registration Status,Subject,Course,Campus,Final Grade,Mid Term Grade,Department,Major,Academic Period,Class,Course Code,College,Withdrew No MT,Dropped no MT,Dropped no Fin
0,0,Registered,AED,22860,KC,A-,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
1,1,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
2,2,Registered,AED,22860,KC,A,A,ARCH,OTH,Fall 2022,JR,AED 22860,Other,False,False,False
3,3,Registered,AED,22860,KC,F,B,ARCH,ID,Fall 2022,SO,AED 22860,CAED,False,False,False
4,4,Registered,AED,22860,KC,B,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
5,5,Registered,AED,22860,KC,B,,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
6,6,Registered,AED,22860,KC,A,A-,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
7,7,Registered,AED,22860,KC,A-,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
8,8,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
9,9,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
10,10,Registered,AED,22860,KC,B,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
11,11,Registered,AED,22860,KC,,C,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
12,12,Registered,AED,22860,KC,D+,C+,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
13,13,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
14,14,Registered,AED,22860,KC,C,D,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
15,15,Registered,AED,22860,KC,B,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
16,16,Registered,AED,22860,KC,F,B,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
17,17,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,SO,AED 22860,CAED,False,False,False
18,18,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
19,19,Registered,AED,22860,KC,B-,C,ARCH,ID,Fall 2022,SO,AED 22860,CAED,False,False,False
20,20,Registered,AED,22860,KC,A-,A-,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
21,21,Registered,AED,22860,KC,A,A-,ARCH,ID,Fall 2022,JR,AED 22860,CAED,False,False,False
22,22,Registered,AED,22860,KC,F,B+,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
23,23,Registered,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
24,24,Registered,AED,22860,KC,A,B-,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
25,25,Registered,AED,22860,KC,B,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
26,26,Registered,AED,22860,KC,B+,B+,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
27,27,Registered,AED,22860,KC,B+,B+,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
28,28,Registered,AED,22860,KC,C-,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
29,29,Registered,AED,22860,KC,C,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
30,30,Std Withdrawn,AED,22860,KC,A,A,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
31,31,Stopped Attending - Failed,AED,22860,KC,W,D,ARCH,ID,Fall 2022,SO,AED 22860,CAED,False,False,False
32,32,Registered,AED,22860,KC,A,A-,ARCH,ID,Fall 2022,FR,AED 22860,CAED,False,False,False
